"ID" "GSM712478"	"GSM712479"	"GSM712480"	"GSM712481"	"GSM712482"	"GSM712483"	"GSM712484"	"GSM712485"	"GSM712486"	"GSM712487"	"GSM712488"	"GSM712489"	"GSM712490"	"GSM712491"	"GSM712492"	"GSM712493"	"GSM712494"	"GSM712495"	"GSM712496"	"GSM712497"	"GSM712498"	"GSM712499"	"GSM712500"	"GSM712501"	"GSM712502"	"GSM712503"	"GSM712504"	"GSM712505"	"GSM712506"	"GSM712507"
"AC025442.3"	5.1425	5.0136	4.6254	4.8079	4.4221	4.8182	5.0322	5.2294	4.7324	4.8284	4.7279	4.8207	4.6849	4.7644	4.6832	4.6741	4.5929	4.7609	4.7446	4.9499	4.9011	4.402	4.3845	4.6105	4.9037	4.813	5.0592	5.2368	4.722	4.628
"AC064852.4"	2.6729	2.4952	2.7023	2.6928	2.4486	2.5107	2.5306	2.8144	2.5928	2.5942	2.4305	2.649	2.8564	2.712	2.4364	2.6568	2.6314	2.8144	2.7498	2.6367	2.9158	2.7127	2.6724	2.6191	2.6267	2.7093	2.9098	2.6508	2.9546	2.6877
"AC067956.1"	2.9498	3.0357	2.7483	2.933	2.5828	2.548	2.9525	2.87	2.5036	2.7765	2.8516	2.5552	2.7353	2.7654	2.8554	2.6401	2.728	2.912	2.9909	2.8474	2.9187	2.5539	2.5411	2.5793	3.0203	2.9321	2.6569	2.7769	2.8388	2.6574
"AC068138.1"	4.793	5.1182	4.7739	4.8784	4.7091	4.6543	5.0208	4.0972	4.43	4.3011	4.4189	4.3852	4.2684	4.4695	4.3112	4.3874	4.5359	4.6024	4.3656	4.5459	4.4426	4.3709	4.0424	4.3331	4.1235	4.5887	4.698	4.4692	4.8059	4.3016
"AC069277.2///AF279782"	3.2095	2.6556	3.0941	2.8194	2.6951	3.0909	2.9859	3.5399	2.886	2.7974	2.8261	2.7292	2.783	2.7341	2.8283	2.6329	3.1465	2.6847	2.8656	2.7262	2.9401	2.6616	2.8163	2.9862	2.8306	2.6541	3.1902	2.7856	2.8413	2.6874
"AC073283.7"	6.4808	6.3192	5.5019	5.9795	5.8194	5.8762	6.0688	5.985	5.3191	5.8947	6.1344	6.035	6.0324	6.142	6.1851	5.687	6.2383	6.2284	6.0922	5.91	6.0594	6.0526	6.077	6.0822	6.0815	6.1885	5.576	6.0363	6.1844	6.4101
"AC073321.4"	3.6744	3.4511	3.5104	3.6823	3.778	3.5761	3.4272	3.1876	3.4436	3.3144	3.4888	3.3665	3.34	3.4412	3.4475	3.4721	3.2831	3.2992	3.4511	3.779	3.792	3.3395	3.5053	3.341	3.1797	3.5869	3.1767	3.6101	3.6178	3.3653
"AC074212.6"	6.3647	6.3149	5.7667	5.9569	5.58	5.7933	6.3611	6.2336	5.6878	5.679	5.8516	5.9169	5.7068	5.8486	5.9394	6.027	5.5675	6.1581	6.1469	5.9371	6.1047	5.3753	5.6856	5.8524	5.7647	6.0187	6.2389	6.4478	5.9756	6.4145
"AC078842.4///AK094915"	3.363	3.0263	3.5663	3.4023	3.0646	3.3535	3.2484	2.8879	2.8153	2.8894	3.2116	2.9903	2.7934	3.0646	3.0381	2.9811	3.0814	3.3637	3.2158	2.9686	3.1706	3.1054	2.8441	3.0205	2.7794	3.0622	2.8257	2.9022	2.8038	3.4747
"AC078883.3///AC078883.4"	4.2447	4.5355	3.9519	4.2864	3.9099	4.2325	4.7446	4.3683	4.171	4.3818	4.2992	4.168	4.2447	4.5689	4.2447	4.1262	4.2199	4.2934	4.2488	4.4837	4.2447	3.8174	4.0287	4.0304	4.3775	4.2092	4.4824	4.3946	4.3642	4.3583
"AC079305.10"	3.9843	3.8596	3.8378	4.1509	3.8422	4.1101	4.1071	4.0915	4.1378	4.0424	4.2457	3.7688	3.7856	3.8714	3.8714	3.7481	3.819	3.5096	3.6729	4.1006	4.1581	3.2226	3.8207	3.9555	3.5921	4.0322	4.2259	4.3199	3.8837	4.0853
"AC079767.4"	4.929	4.7945	4.3901	4.8305	4.3324	3.8229	4.5452	4.1305	4.2294	4.4354	5.7279	6.0724	4.871	5.5719	4.6528	5.0719	5.5963	5.2764	4.693	5.4901	4.9624	4.856	5.2353	6.0919	5.4349	5.4363	5.336	5.8481	4.4111	5.2237
"AC079807.4"	3.4401	3.3765	3.624	3.452	3.2944	3.4536	3.3774	3.3493	3.1383	3.3548	3.1127	3.189	3.3113	2.8751	3.5461	3.0665	3.1716	3.2178	3.0822	3.504	3.1478	3.1488	2.8988	3.3458	3.2324	3.1231	2.8759	3.3402	3.6124	3.1572
"AC083843.1"	4.9179	4.9152	4.7915	4.2083	4.5783	4.3113	4.4775	4.7948	4.8676	5.0287	5.1251	4.7381	5.2095	5.0115	4.8486	5.0645	5.2915	4.9813	4.7076	4.7293	5.0745	5.3451	4.8734	5.1521	4.7654	4.6574	4.9031	4.6225	4.7251	4.4116
"AC083949.1"	5.3009	4.7892	4.6682	5.5215	4.8699	4.9133	5.1955	5.3907	6.2908	5.5695	4.8103	5.0268	5.2931	4.9571	5.0363	4.9524	4.9572	4.9629	4.958	5.7906	5.4253	5.5503	5.0771	5.114	5.6874	4.8773	5.1621	5.8964	5.4289	5.4668
"AC087501.1"	2.5183	2.6441	2.4476	2.6847	2.4218	2.6636	2.5416	2.8095	2.5261	2.4836	2.4143	2.4968	2.3874	2.4293	2.3554	2.3332	2.4703	2.5879	2.5804	2.3912	2.7473	2.2409	2.3437	2.4584	2.3814	2.5162	2.6	2.5783	2.6213	2.7128
